Event_ID,Outcome,week_before_event,article_count,certainty_score_mean,certainty_score_sum,relevance_score_max,relevance_score_mean,relevance_score_min,relevance_score_std,rhetoric_score_max,rhetoric_score_mean,rhetoric_score_sum,sentiment_compound_max,sentiment_compound_mean,sentiment_compound_min,sentiment_compound_std
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-12,22,0.18181818181818182,4.0,3.0,1.1363636363636365,0.0,0.5602256811793028,8.0,1.3636363636363635,30.0,0.9571,-0.27595,-0.9725,0.6226953208584819
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-11,31,0.4838709677419355,15.0,2.0,0.8064516129032258,0.0,0.6541842165990494,4.0,0.7419354838709677,23.0,0.9425,-0.2541,-0.9798,0.5554001704476992
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-10,28,0.35714285714285715,10.0,3.0,0.8928571428571429,0.0,0.6852566815265063,5.0,0.5,14.0,0.9226,-0.38573214285714286,-0.9934,0.6213408243787645
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-9,25,0.4,10.0,2.0,0.64,0.0,0.7,5.0,0.52,13.0,0.8718,-0.13312,-0.9378,0.6930487332552211
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-8,29,0.5517241379310345,16.0,2.0,0.8275862068965517,0.0,0.7105815283093027,5.0,0.7931034482758621,23.0,0.9153,-0.36057241379310345,-0.9837,0.6443613116304456
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-7,14,0.2857142857142857,4.0,1.0,0.7142857142857143,0.0,0.4688072309384954,5.0,0.6428571428571429,9.0,0.936,-0.36070714285714284,-0.9746,0.6203959994220636
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-6,30,0.3333333333333333,10.0,2.0,0.8333333333333334,0.0,0.6477192523656046,5.0,0.7333333333333333,22.0,0.9201,-0.23022666666666666,-0.9668,0.7143867150043545
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-5,20,0.4,8.0,3.0,1.25,0.0,0.8506963092234008,5.0,0.95,19.0,0.9413,-0.17417,-0.9793,0.7006849784693772
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-4,24,0.20833333333333334,5.0,2.0,1.0416666666666667,0.0,0.750603621828092,4.0,1.0833333333333333,26.0,0.7964,-0.40778333333333333,-0.9842,0.6331287194262465
SAS_2020_INDOCHINA_NOCONFLICT,No Conflict,-3,39,0.6153846153846154,24.0,3.0,1.1794871794871795,0.0,0.7904627183124041,4.0,0.9743589743589743,38.0,0.9355,-0.1247794871794872,-0.9666,0.695538231640371
